Planet Name,Host Name,Planet Letter,Number of Stars,Number of Planets,Number of Moons,Discovery Method,Discovery Year,Discovery Publication Date,Discovery Locale,Discovery Facility,Discovery Telescope,Discovery Instrument
HD 192310 b,HD 192310,b,1,2,0,Radial Velocity,2011,2011-10,Ground,La Silla Observatory,3.6 m ESO Telescope,HARPS Spectrograph
HD 192310 c,HD 192310,c,1,2,0,Radial Velocity,2011,2011-10,Ground,La Silla Observatory,3.6 m ESO Telescope,HARPS Spectrograph
HD 204941 b,HD 204941,b,2,1,0,Radial Velocity,2011,2011-11,Ground,La Silla Observatory,3.6 m ESO Telescope,HARPS Spectrograph
HD 20794 b,HD 20794,b,1,4,0,Radial Velocity,2011,2011-10,Ground,La Silla Observatory,3.6 m ESO Telescope,HARPS Spectrograph
HD 20794 c,HD 20794,c,1,4,0,Radial Velocity,2011,2011-10,Ground,La Silla Observatory,3.6 m ESO Telescope,HARPS Spectrograph
HD 20794 d,HD 20794,d,1,4,0,Radial Velocity,2011,2011-10,Ground,La Silla Observatory,3.6 m ESO Telescope,HARPS Spectrograph
HD 217786 b,HD 217786,b,2,1,0,Radial Velocity,2011,2011-03,Ground,La Silla Observatory,3.6 m ESO Telescope,HARPS Spectrograph
HD 220773 b,HD 220773,b,1,1,0,Radial Velocity,2011,2012-04,Ground,McDonald Observatory,9.2 m Hobby-Eberly Telescope,High Resolution Spectrograph
HD 222155 b,HD 222155,b,1,1,0,Radial Velocity,2011,2012-09,Ground,Haute-Provence Observatory,1.93 m Telescope,ELODIE Spectrograph
HD 22781 b,HD 22781,b,1,1,0,Radial Velocity,2011,2012-02,Ground,Haute-Provence Observatory,1.93 m Telescope,SOPHIE Spectrograph
HD 240237 b,HD 240237,b,1,1,0,Radial Velocity,2011,2012-01,Ground,McDonald Observatory,9.2 m Hobby-Eberly Telescope,High Resolution Spectrograph
HD 28678 b,HD 28678,b,1,1,0,Radial Velocity,2011,2011-12,Ground,W. M. Keck Observatory,10 m Keck I Telescope,HIRES Spectrometer
HD 30856 b,HD 30856,b,2,1,0,Radial Velocity,2011,2011-12,Ground,W. M. Keck Observatory,10 m Keck I Telescope,HIRES Spectrometer
HD 33142 b,HD 33142,b,1,2,0,Radial Velocity,2011,2011-12,Ground,W. M. Keck Observatory,10 m Keck I Telescope,HIRES Spectrometer
HD 5891 b,HD 5891,b,1,1,0,Radial Velocity,2011,2011-12,Ground,W. M. Keck Observatory,10 m Keck I Telescope,HIRES Spectrometer
HD 7199 b,HD 7199,b,1,1,0,Radial Velocity,2011,2011-11,Ground,La Silla Observatory,3.6 m ESO Telescope,HARPS Spectrograph
HD 7449 b,HD 7449,b,2,1,0,Radial Velocity,2011,2011-11,Ground,La Silla Observatory,3.6 m ESO Telescope,HARPS Spectrograph
HD 79498 b,HD 79498,b,2,1,0,Radial Velocity,2011,2012-04,Ground,McDonald Observatory,2.7 m Harlan J. Smith Telescope,Tull Coude Spectrograph
HD 82886 b,HD 82886,b,1,1,0,Radial Velocity,2011,2011-12,Ground,W. M. Keck Observatory,10 m Keck I Telescope,HIRES Spectrometer
HD 85512 b,HD 85512,b,1,1,0,Radial Velocity,2011,2011-10,Ground,La Silla Observatory,3.6 m ESO Telescope,HARPS Spectrograph
HD 96063 b,HD 96063,b,1,1,0,Radial Velocity,2011,2011-12,Ground,W. M. Keck Observatory,10 m Keck I Telescope,HIRES Spectrometer
HD 96127 b,HD 96127,b,1,1,0,Radial Velocity,2011,2012-01,Ground,McDonald Observatory,9.2 m Hobby-Eberly Telescope,High Resolution Spectrograph
HD 98219 b,HD 98219,b,1,1,0,Radial Velocity,2011,2011-12,Ground,W. M. Keck Observatory,10 m Keck I Telescope,HIRES Spectrometer
HD 99706 b,HD 99706,b,1,2,0,Radial Velocity,2011,2011-12,Ground,W. M. Keck Observatory,10 m Keck I Telescope,HIRES Spectrometer
HIP 5158 c,HIP 5158,c,1,2,0,Radial Velocity,2011,2011-09,Ground,La Silla Observatory,3.6 m ESO Telescope,HARPS Spectrograph
HIP 57274 b,HIP 57274,b,1,3,0,Radial Velocity,2011,2012-01,Ground,W. M. Keck Observatory,10 m Keck I Telescope,HIRES Spectrometer
HIP 57274 c,HIP 57274,c,1,3,0,Radial Velocity,2011,2012-01,Ground,W. M. Keck Observatory,10 m Keck I Telescope,HIRES Spectrometer
HIP 57274 d,HIP 57274,d,1,3,0,Radial Velocity,2011,2012-01,Ground,W. M. Keck Observatory,10 m Keck I Telescope,HIRES Spectrometer
HU Aqr AB b,HU Aqr,b,2,2,0,Eclipse Timing Variations,2011,2011-06,Ground,Yunnan Astronomical Observatory,2.4 m Lijiang Station Telescope,VersArray 1300B CCD Camera
