,longitude,latitude,TOT,CR,TIME,MO,YR
46654,-73.828513549693,40.883491320126,1,GRAND LARCENY OF MOTOR VEHICLE,02/03/2013,2,2013
59193,-73.870089294264,40.736524420707,1,ROBBERY,10/01/2013,10,2013
18686,-73.965557572499,40.764394094099,1,GRAND LARCENY,01/25/2013,1,2013
86218,-73.867585735245,40.857830436214,1,ROBBERY,10/02/2013,10,2013
5282,-73.927388785598,40.834751184208,1,BURGLARY,01/17/2013,1,2013
35336,-73.87998595104999,40.659099723644,1,GRAND LARCENY,04/13/2013,4,2013
64634,-74.01235598686401,40.643145862927,1,GRAND LARCENY,05/10/2013,5,2013
26181,-73.862243580537,40.707327506174,1,GRAND LARCENY,09/28/2013,9,2013
19462,-73.955718454018,40.713157185966,1,BURGLARY,03/08/2013,3,2013
46215,-73.898514878116,40.832368937632,1,ROBBERY,01/11/2013,1,2013
42098,-73.888017281237,40.813047378962004,1,FELONY ASSAULT,12/02/2013,12,2013
77507,-74.024160260076,40.622146358719,1,GRAND LARCENY,06/14/2013,6,2013
65935,-73.912399485205,40.823341970501,1,GRAND LARCENY OF MOTOR VEHICLE,07/14/2013,7,2013
2343,-73.952469670654,40.650671137041996,1,ROBBERY,06/05/2013,6,2013
93589,-73.998729672175,40.744960945607,1,GRAND LARCENY,09/06/2013,9,2013
43953,-73.940684855854,40.711961939447995,1,ROBBERY,04/09/2013,4,2013
