Name,Status,Fall,Year,Place,Occurrence,,Type,Mass,MetBull
Smithville **,Official,,1840,Tennessee,1, USA,"Iron, IAB-MG",70.5 kg,26
Cosby's Creek,Official,,1837,Tennessee,1, USA,"Iron, IAB-MG",960 kg,
Charlotte,Official,Y,1835,Tennessee,1, USA,"Iron, IVA",4.3 kg,
Drake Creek,Official,Y,1827,Tennessee,1, USA,L6,5 kg,
Rock Creek **,Official,,1979,Texas,1, USA,L5,1641 g,61
Slaton (b) **,Official,,1940,Texas,1, USA,"Iron, IIAB",6 kg,102
Rosebud,Official,,1907,Texas,1, USA,H5,54.9 kg,
Travis County (b) **,Official,,1937,Texas,1, USA,H4,5.9 kg,78
O'Donnell (b) **,Official,,2018,Texas,1, USA,H5,8 kg,108†
Mount Blanco **,Official,Yc,2016,Texas,1, USA,L5,36.2 g,105
Clarendon (c) **,Official,,2015,Texas,1, USA,L4,377 kg,105
Hart **,Official,,2010,Texas,1, USA,CK3,966 g,101
New Deal,Official,,2010,Texas,1, USA,H6,266 g,99
Plainview (e) **,Official,,2010,Texas,1, USA,H5,1250 g,100
Ash Creek **,Official,Y,2009,Texas,1, USA,L6,9.5 kg,96
Grandview,Official,,2008,Texas,1, USA,L5,6.4 kg,95
Seminole (f) **,Official,,2008,Texas,1, USA,H5,5.42 kg,100
Nueces,Official,,2004,Texas,1, USA,H5,4.5 kg,106
Buffalo Gap **,Official,,2003,Texas,1, USA,"Iron, IAB-ung",9.3 kg,98
Fife,Official,,2003,Texas,1, USA,H5,8.6 kg,89
Dougherty,Official,,2002,Texas,1, USA,L6,1113 g,88
Cedar Station **,Official,,2001,Texas,1, USA,"Iron, ungrouped",6.51 kg,104
Spade **,Official,,2000,Texas,1, USA,H6,8.86 kg,87
Floydada (b),Official,,1999,Texas,1, USA,H5,6.27 kg,85
Seminole (g) **,Official,,1999,Texas,1, USA,H5,640 g,100
Cedar Lake **,Official,,1998,Texas,1, USA,H5-6,509 g,104
Monahans (1998) **,Official,Y,1998,Texas,1, USA,H5,2.59 kg,82
Ackerly **,Official,,1995,Texas,1, USA,L5,3.05 kg,100
Barrilla **,Official,,1994,Texas,1, USA,H5,11.1 kg,81
Dumont **,Official,,1994,Texas,1, USA,"Iron, IVB",27.42 kg,94
Kress (d) **,Official,,1994,Texas,1, USA,H5,57 g,83
O'Donnell **,Official,,1992,Texas,1, USA,H5,12.7 kg,84
Hub,Official,,1991,Texas,1, USA,L5,6.45 kg,85
Plains (d) **,Official,,1991,Texas,1, USA,H4,280 g,74
Sulphur Springs Draw **,Official,,1990,Texas,1, USA,H5,1892 g,72
McKenzie Draw (a) **,Official,,1989,Texas,1, USA,H4,11.8 kg,72
McKenzie Draw (b) **,Official,,1989,Texas,1, USA,H4,2.99 kg,72
