symbol,date,price
GOOG,Jun-08,526.42
GOOG,Jul-08,473.75
GOOG,Aug-08,463.29
GOOG,Sep-08,400.52
GOOG,Oct-08,359.36
GOOG,Nov-08,292.96
GOOG,Dec-08,307.65
GOOG,Jan-09,338.53
GOOG,Feb-09,337.99
GOOG,Mar-09,348.06
GOOG,Apr-09,395.97
GOOG,May-09,417.23
GOOG,Jun-09,421.59
GOOG,Jul-09,443.05
GOOG,Aug-09,461.67
GOOG,Sep-09,495.85
GOOG,Oct-09,536.12
GOOG,Nov-09,583
GOOG,Dec-09,619.98
GOOG,Jan-10,529.94
GOOG,Feb-10,526.8
GOOG,Mar-10,560.19
10 Year T-Note,Jan-00,6.67
10 Year T-Note,Feb-00,6.41
10 Year T-Note,Mar-00,6.02
10 Year T-Note,Apr-00,6.21
10 Year T-Note,May-00,6.28
10 Year T-Note,Jun-00,6.02
10 Year T-Note,Jul-00,6.03
10 Year T-Note,Aug-00,5.73
10 Year T-Note,Sep-00,5.78
10 Year T-Note,Oct-00,5.76
10 Year T-Note,Nov-00,5.44
10 Year T-Note,Dec-00,5.11
10 Year T-Note,Jan-01,5.18
10 Year T-Note,Feb-01,4.91
10 Year T-Note,Mar-01,4.91
10 Year T-Note,Apr-01,5.34
10 Year T-Note,May-01,5.41
10 Year T-Note,Jun-01,5.39
10 Year T-Note,Jul-01,5.04
10 Year T-Note,Aug-01,4.82
10 Year T-Note,Sep-01,4.57
10 Year T-Note,Oct-01,4.26
10 Year T-Note,Nov-01,4.74
10 Year T-Note,Dec-01,5.03
10 Year T-Note,Jan-02,5.03
10 Year T-Note,Feb-02,4.86
10 Year T-Note,Mar-02,5.41
10 Year T-Note,Apr-02,5.09
10 Year T-Note,May-02,5.04
10 Year T-Note,Jun-02,4.82
10 Year T-Note,Jul-02,4.47
10 Year T-Note,Aug-02,4.14
10 Year T-Note,Sep-02,3.61
10 Year T-Note,Oct-02,3.91
10 Year T-Note,Nov-02,4.21
10 Year T-Note,Dec-02,3.82
10 Year T-Note,Jan-03,3.97
10 Year T-Note,Feb-03,3.7
10 Year T-Note,Mar-03,3.82
10 Year T-Note,Apr-03,3.86
10 Year T-Note,May-03,3.35
10 Year T-Note,Jun-03,3.53
10 Year T-Note,Jul-03,4.47
10 Year T-Note,Aug-03,4.45
10 Year T-Note,Sep-03,3.94
10 Year T-Note,Oct-03,4.3
10 Year T-Note,Nov-03,4.32
10 Year T-Note,Dec-03,4.26
10 Year T-Note,Jan-04,4.14
10 Year T-Note,Feb-04,3.98
10 Year T-Note,Mar-04,3.84
10 Year T-Note,Apr-04,4.5
10 Year T-Note,May-04,4.66
10 Year T-Note,Jun-04,4.62
10 Year T-Note,Jul-04,4.47
10 Year T-Note,Aug-04,4.13
10 Year T-Note,Sep-04,4.12
10 Year T-Note,Oct-04,4.03
10 Year T-Note,Nov-04,4.36
10 Year T-Note,Dec-04,4.22
10 Year T-Note,Jan-05,4.13
10 Year T-Note,Feb-05,4.36
10 Year T-Note,Mar-05,4.5
10 Year T-Note,Apr-05,4.2
10 Year T-Note,May-05,4.01
10 Year T-Note,Jun-05,3.94
10 Year T-Note,Jul-05,4.29
